frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"5634","225.299000000","122.13.172.153","10.8.0.2","17","346"
"5635","225.300000000","10.8.0.2","122.13.172.153","17","113"
"5636","225.382000000","10.8.0.2","122.13.172.153","17","125"
"5637","225.382000000","122.13.172.153","10.8.0.2","17","328"
"5638","225.459000000","122.13.172.153","10.8.0.2","17","292"
"5639","225.467000000","10.8.0.2","122.13.172.153","17","113"
"5640","225.516000000","10.8.0.2","183.236.60.120","6","114"
"5641","225.527000000","183.236.60.120","10.8.0.2","6","114"
"5642","225.527000000","10.8.0.2","183.236.60.120","6","68"
"5643","225.537000000","10.8.0.2","122.13.172.153","17","96"
"5644","225.539000000","122.13.172.153","10.8.0.2","17","310"
"5645","225.618000000","122.13.172.153","10.8.0.2","17","301"
"5646","225.621000000","10.8.0.2","122.13.172.153","17","125"
"5647","225.702000000","10.8.0.2","122.13.172.153","17","113"
"5648","225.703000000","122.13.172.153","10.8.0.2","17","315"
"5649","225.774000000","10.8.0.2","122.13.172.153","17","96"
"5650","225.777000000","122.13.172.153","10.8.0.2","17","303"
"5651","225.853000000","10.8.0.2","122.13.172.153","17","125"
"5652","225.862000000","122.13.172.153","10.8.0.2","17","321"
"5653","225.940000000","10.8.0.2","122.13.172.153","17","113"
"5654","225.943000000","122.13.172.153","10.8.0.2","17","371"
"5655","226.022000000","10.8.0.2","122.13.172.153","17","120"
"5656","226.023000000","122.13.172.153","10.8.0.2","17","372"
"5657","226.096000000","10.8.0.2","122.13.172.153","17","101"
"5658","226.099000000","122.13.172.153","10.8.0.2","17","314"
"5659","226.178000000","122.13.172.153","10.8.0.2","17","315"
"5660","226.184000000","10.8.0.2","122.13.172.153","17","120"
"5661","226.253000000","10.8.0.2","122.13.172.153","17","96"
"5662","226.258000000","122.13.172.153","10.8.0.2","17","333"
"5663","226.288000000","10.8.0.2","122.13.172.153","17","406"
"5664","226.297000000","122.13.172.153","10.8.0.2","17","55"
"5665","226.340000000","10.8.0.2","122.13.172.153","17","118"
"5666","226.344000000","122.13.172.153","10.8.0.2","17","351"
"5667","226.413000000","10.8.0.2","122.13.172.153","17","103"
"5668","226.424000000","122.13.172.153","10.8.0.2","17","328"
"5669","226.504000000","10.8.0.2","122.13.172.153","17","113"
"5670","226.512000000","122.13.172.153","10.8.0.2","17","324"
"5671","226.575000000","10.8.0.2","122.13.172.153","17","108"
"5672","226.588000000","122.13.172.153","10.8.0.2","17","314"
"5673","226.653000000","10.8.0.2","122.13.172.153","17","113"
"5674","226.674000000","122.13.172.153","10.8.0.2","17","320"
"5675","226.738000000","10.8.0.2","122.13.172.153","17","120"
